"repository"	"path"	"line"	"text"
"code"	"experiments/long_scenes/schema.py"	"5"	"manifest following plans/BP46-long-tennis-scenes.md and plans/SESSION-REPORT.md."
"code"	"experiments/probe/bounds.py"	"18"	"* plans/done/RESEARCH-HISTORY.md §2.3 measured 11.82 object / 8.90 frame on an ad-hoc re-run"
"code"	"experiments/probe/bounds.py"	"235"	"# Published calibration anchors for the wrapped ``lpips`` package (plans/done/RESEARCH-HISTORY.md"
"code"	"experiments/probe/bounds.py"	"454"	"# loses (plans/done/RESEARCH-HISTORY.md 2.10)."
"code"	"experiments/probe/clips.py"	"29"	"#: the static-copy floor moves most (21.5 dB down to 11.2 dB, plans/done/RESEARCH-HISTORY.md §2.5),"
"code"	"experiments/probe/construct.py"	"3"	"The required-behaviour suite (PLAN.md §8) asks: every registered backend"
"code"	"experiments/probe/construct.py"	"27"	"# PLAN.md §2.4: SAM3 cannot load because torch.nn.attention does not exist in"
"code"	"experiments/probe/construct.py"	"69"	"""environment (torch 2.2.2). PLAN.md §2.4. The wrapper does not yet """
"code"	"experiments/probe/cross_appearance.py"	"17"	"on this probe set every engine does (``plans/done/RESEARCH-HISTORY.md`` §2.10)."
"code"	"experiments/probe/engines.py"	"11"	"bounds PSNR from below without being a pass/fail gate (``PLAN.md`` §2.4)."
"code"	"experiments/probe/engines.py"	"20"	"(``PLAN.md`` §2.7); ``sequence=True`` is what says a plan must not be driven that"
"code"	"experiments/probe/engines.py"	"90"	"notes=""trained as a segmentation ControlNet, not an IP-Adapter (PLAN.md §2.3)"","
"code"	"experiments/probe/engines.py"	"126"	"""verdicts (PLAN.md §2.7). In-domain only — the fine-tune set includes """
"code"	"experiments/probe/run.py"	"11"	"(``PLAN.md`` §2.7); a sequence plan whose backend has no ``generate_sequence``"
"code"	"experiments/probe/run.py"	"22"	"subfield rejects PSNR for generatively reconstructed content (``PLAN.md`` §2.5)."
"code"	"experiments/probe/run.py"	"1117"	"""Animate-Anyone has also seen both held-out videos (PLAN.md §2.8); """
"code"	"experiments/probe/score.py"	"9"	"**LPIPS is the ranking key** (`plans/done/RESEARCH-HISTORY.md` §2.5: the subfield rejects PSNR for"
"code"	"experiments/tier/appearance_cost.py"	"43"	"`plans/done/BP24-findings.md` §3: a noise anchor saturates every encoder at every"
"code"	"experiments/tier/background_stream.py"	"3"	"`plans/done/BP24-findings.md` §18 and §19 answered that for a *pair* of plates: av1"
"code"	"experiments/tier/ladder.py"	"3"	"`PLAN.md` §7 P0 items 2 and 3. BP24 built the rate axis; this runs it."
"code"	"experiments/tier/ladder.py"	"5"	"**Why the arms are paired.** `plans/BP24-findings.md` §1 measured that the"
"code"	"experiments/tier/ladder.py"	"135"	"#: `plans/BP24-findings.md` §2 is about."
"code"	"experiments/tier/ladder.py"	"158"	"The clip axis this ladder is swept over. `plans/BP24-findings.md` §7 records"
"code"	"experiments/tier/ladder.py"	"617"	"""(plans/BP24-findings.md §1)."""
"code"	"experiments/tier/ladder.py"	"713"	"""brief"": ""BP24 — the paired ladder (PLAN.md §7 P0 items 2 and 3)"","
"code"	"experiments/tier/ladder.py"	"723"	"""equal effort across codecs (plans/BP24-findings.md §1), so an """
"code"	"experiments/tier/ladder_scenes.py"	"5"	"scenes** (`plans/done/RESEARCH-HISTORY.md` §2.22): a single-scene ladder charges the plate to one scene"
"code"	"experiments/tier/ladder_scenes.py"	"14"	"is the rig `plans/done/BP30-background-stream.md` §5 exists to prevent."
"code"	"experiments/tier/ladder_scenes.py"	"23"	"**One bound model is one stream** (`plans/done/BP30-findings.md`, and the guard in"
"code"	"experiments/tier/ladder_scenes.py"	"33"	"carries the residual before `residual.codec` ran on it (`plans/done/BP24-findings.md`"
"code"	"experiments/tier/ladder_scenes.py"	"80"	"#: reaches nothing under `panorama-stream` (`plans/done/BP31-findings.md` §1). Run"
"code"	"experiments/tier/ladder_scenes.py"	"182"	"mean (`plans/BP33-span-amortisation.md` §3.3)."
"code"	"experiments/tier/ladder_scenes_compare.py"	"12"	"- the plate must move across rungs (`plans/done/BP31-findings.md` §8: a run whose"
"code"	"experiments/tier/ladder_scenes_compare.py"	"71"	"`plans/done/BP31-findings.md` §10 measured a within-point spread on repeated 4K"
