"path"	"area"	"action"	"destination"	"lines"	"git_blob_at_base"	"working_sha256"	"recovery_url"	"review_flags"
".github/copilot-instructions.md"	"infrastructure"	"keep"	"AGENTS.md adapter"	"7"	"f9ff5806641ce014728bc254012b5954fbf6cd85"	"ce526df6a50c7c3241bfb7601a4b0c5db1b06606ea3ea6ec339f12da75f01d21"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/.github/copilot-instructions.md"	""
"AGENTS.md"	"infrastructure"	"rewrite"	"AGENTS.md"	"131"	"fdb867d9b30588ae13bd43826b4d5fb694b380d2"	"b64b3b141380aa2adc2e2d848f70054068d6993281d1edce14cc20836bb33d82"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/AGENTS.md"	"uncommitted user edits captured in user-edits.json"
"CLAUDE.md"	"infrastructure"	"keep"	"AGENTS.md adapter"	"6"	"2beaf2dbec996263cfb531fdef1b44668da4e08b"	"23ed8b099859895c8bc6034770e4253fa07f73671a2c52416c4e622a32b5a7ec"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/CLAUDE.md"	""
"DATA.md"	"infrastructure"	"extract-retire"	"docs/setup.md + docs/areas/infrastructure.md"	"62"	"0ff2cb3006d6a3dd22452bb549231b1e78152f21"	"7d211aeb9d7c30c21d74baf9a037fe9787b61ac2d33cf0dfb8e545390bc703f4"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/DATA.md"	""
"HANDOFF.md"	"infrastructure"	"extract-retire"	"docs/areas/evaluation.md; discard stale launch prompt"	"47"	"c8cd7ceed0b732c55e3541b3c3869a7e2d40baa3"	"cc24f2ad71cb9edf56f0f8aea67774a8138de737fee7d82276fd1a3382f5982f"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/HANDOFF.md"	"contains status/validity/open-work text; adjudicate before retirement"
"PLAN.md"	"infrastructure"	"rewrite"	"PLAN.md"	"77"	"a690ebbc3486ba434a4b0a9c6426b5922be3cd7e"	"5d63c79082d9e4c3be6810cbc2e8a3bb857175d5810427d6d10a6f7794eb5603"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/PLAN.md"	"contains status/validity/open-work text; adjudicate before retirement; uncommitted user edits captured in user-edits.json"
"README.md"	"infrastructure"	"rewrite"	"README.md"	"52"	"b5fdfadefa52cf04aec5b57884a105c36ff4f492"	"a67b626fe64da5465a27431071c830023aec4a23c93074a224d899d7ffae968d"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/README.md"	"uncommitted user edits captured in user-edits.json"
"plans/BP34-operating-point.md"	"infrastructure"	"extract-retire"	"docs/areas/infrastructure.md; historical body via recovery URL"	"123"	"d0582747bc61b3ac47071c4baa2f95f1f7072afc"	"fb92028bbedcbf77d875f79229610ecd99681dc46b307cb1334adaf29e6172a5"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/BP34-operating-point.md"	"contains status/validity/open-work text; adjudicate before retirement"
"plans/BP36-second-domain.md"	"evaluation"	"extract-retire"	"docs/areas/evaluation.md"	"132"	"fd40003a30bf7a2272d4f2bb2d369e69ee976925"	"274e5098a9deff918fbb5b06af0adc1f16d8eb0aafeeef97a0327bc4d2e5150a"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/BP36-second-domain.md"	""
"plans/BP37-required-behaviour.md"	"infrastructure"	"extract-retire"	"docs/areas/infrastructure.md; historical body via recovery URL"	"96"	"a0c669e48a4b8e666928b2fa2625859ffd04249f"	"1555e92c2531c4f3ce22f5a30f5a69bfab66953abd3ae2ebcde96e4e311c2a9c"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/BP37-required-behaviour.md"	"contains status/validity/open-work text; adjudicate before retirement"
