old_path	owning_area	recovery_url	git_blob	disposition	destination	review_flags
DATA.md	infrastructure	https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/DATA.md	0ff2cb3006d6a3dd22452bb549231b1e78152f21	extracted; superseded by area documents	docs/setup.md + docs/areas/infrastructure.md
HANDOFF.md	infrastructure	https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/HANDOFF.md	c8cd7ceed0b732c55e3541b3c3869a7e2d40baa3	extracted; superseded by area documents	docs/areas/evaluation.md; discard stale launch prompt	contains status/validity/open-work text; adjudicate before retirement
plans/BP34-operating-point.md	infrastructure	https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/BP34-operating-point.md	d0582747bc61b3ac47071c4baa2f95f1f7072afc	extracted; superseded by area documents	docs/areas/infrastructure.md; historical body via recovery URL	contains status/validity/open-work text; adjudicate before retirement
plans/BP36-second-domain.md	evaluation	https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/BP36-second-domain.md	fd40003a30bf7a2272d4f2bb2d369e69ee976925	extracted; superseded by area documents	docs/areas/evaluation.md
plans/BP37-required-behaviour.md	infrastructure	https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/BP37-required-behaviour.md	a0c669e48a4b8e666928b2fa2625859ffd04249f	extracted; superseded by area documents	docs/areas/infrastructure.md; historical body via recovery URL	contains status/validity/open-work text; adjudicate before retirement
plans/BP41-ablation-lattice.md	evaluation	https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/BP41-ablation-lattice.md	0c22b9b9be642e6aa7801914327a4b9b8e2acaf7	extracted; superseded by area documents	docs/areas/evaluation.md; historical body via recovery URL	contains status/validity/open-work text; adjudicate before retirement
plans/BP46-long-tennis-scenes.md	data	https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/BP46-long-tennis-scenes.md	944f7a8462372fbac594c22ce13a7e90a763c136	extracted; superseded by area documents	docs/areas/data.md; historical body via recovery URL	contains status/validity/open-work text; adjudicate before retirement
plans/DEFERRED.md	infrastructure	https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/DEFERRED.md	f1d8b08e6c42e4b4e2e59a79510c1ac45193ae36	adjudicated; open actions moved to area next actions	area next-action queues; closed findings to history	contains status/validity/open-work text; adjudicate before retirement
plans/DISPATCH-GATE-A-48FRAME-RUN.md	evaluation	https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/DISPATCH-GATE-A-48FRAME-RUN.md	8e7cc3387387aabeba3e56a85b564408a291517e	extracted; superseded by area documents	docs/areas/evaluation.md + docs/history/findings.md; report to commit permalink	contains status/validity/open-work text; adjudicate before retirement
plans/ENGINE-ROSTER.md	generation	https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/ENGINE-ROSTER.md	916e459274800d2b4910f2e6517a0f02a7457f69	reconciled; superseded by area documents	docs/areas/generation.md; old numeric roster to commit permalink	contains status/validity/open-work text; adjudicate before retirement
plans/GATE-A-LONG-CONTEXT-2026-09-05.md	evaluation	https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/GATE-A-LONG-CONTEXT-2026-09-05.md	4e5ce2f6d619c8121771986013fcba9f7acf1de9	extracted; superseded by area documents	docs/areas/evaluation.md; frozen protocol to commit permalink
plans/PAPER-NEXT.md	paper	https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/PAPER-NEXT.md	f312e921a2acef90a1cc3b003736a794ef6b999e	reconciled; superseded by area documents	docs/areas/paper.md	contains status/validity/open-work text; adjudicate before retirement
plans/PLAN-GATE-A-COMPETITIVE-REGIME.md	evaluation	https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/PLAN-GATE-A-COMPETITIVE-REGIME.md	0dc1872cba996dc0c5665af4cc16bbe055411174	reconciled; superseded by area documents	docs/areas/codec.md + docs/areas/evaluation.md + docs/areas/infrastructure.md	contains status/validity/open-work text; adjudicate before retirement; uncommitted user edits captured in user-edits.json
plans/README.md	infrastructure	https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/README.md	4162fd081b13a09b1490ae0fd2928ffecdd9c6dd	retired; historical record	PLAN.md	contains status/validity/open-work text; adjudicate before retirement
plans/ROADMAP.md	infrastructure	https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/ROADMAP.md	8c66eaa343547cd279d4b91d4a37ba0ad4951eac	split; superseded by roadmap and area documents	docs/roadmap.md + docs/areas/*.md	contains status/validity/open-work text; adjudicate before retirement; uncommitted user edits captured in user-edits.json
plans/SESSION-REPORT.md	infrastructure	https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/SESSION-REPORT.md	ebdb369866f98e55751fa9a59cefd66667f1876c	converted; superseded by session workflow skill	docs/workflow/session/SKILL.md	contains status/validity/open-work text; adjudicate before retirement
plans/SUBMISSION-READINESS-2026-09-05.md	infrastructure	https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/SUBMISSION-READINESS-2026-09-05.md	bfb6e933628640a7c636283cce6e7f303cdb70c2	reconciled; superseded by area documents	PLAN.md + docs/areas/paper.md
plans/TERMINOLOGY.md	infrastructure	https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/TERMINOLOGY.md	f4e93d9729daaff5ca2b658c12b3ceec44004106	extracted; superseded by area documents	AGENTS.md plain writing rule; behavioral facts to codec/evaluation
plans/done/B1-codec.md	codec	https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/done/B1-codec.md	1bd24098d719e132f26e655ae7890f417cb57ff5	extracted; superseded by area documents	docs/areas/codec.md; historical body via recovery URL	done directory is NOT proof of completion
plans/done/B2-perception.md	data	https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/done/B2-perception.md	10231a593da84c472752d730b693fde4f8f39694	extracted; superseded by area documents	docs/areas/data.md; historical body via recovery URL	contains status/validity/open-work text; adjudicate before retirement; done directory is NOT proof of completion
plans/done/B3-generation.md	generation	https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/done/B3-generation.md	6ba516c83e44dd64b4c1f376e283e50c8c6e7aaf	extracted; superseded by area documents	docs/areas/generation.md; historical body via recovery URL	contains status/validity/open-work text; adjudicate before retirement; done directory is NOT proof of completion
plans/done/B4-background-rigid.md	codec	https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/done/B4-background-rigid.md	3735005697cde5ecd340290be6143711b157c2a9	extracted; superseded by area documents	docs/areas/codec.md; historical body via recovery URL	done directory is NOT proof of completion
plans/done/B5-transport-temporal.md	codec	https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/done/B5-transport-temporal.md	b4caa67a8cdee5a6e2496d0f84515d8f2821532c	extracted; superseded by area documents	docs/areas/codec.md; historical body via recovery URL	done directory is NOT proof of completion
